,sensor_id,latitude,longitude,Fwy,Dir,District,County,City,State_PM,Abs_PM,Lanes,Name,CountyName,FwyName,CityName
0,773869,34.15497,-118.31829,134,E,7,37,8954,3.4,3.4,4,PARISH PL,Los Angeles,SR-134,Burbank
1,767541,34.11621,-118.23799,2,E,7,37,44000,16.4,8.962,4,34TH AVE,Los Angeles,SR-2,Los Angeles
2,767542,34.11641,-118.23819,2,W,7,37,44000,16.4,8.962,4,34TH AVE,Los Angeles,SR-2,Los Angeles
3,717447,34.07248,-118.26772,101,N,7,37,44000,2.94,4.288,4,ALVARADO,Los Angeles,US-101,Los Angeles
4,717446,34.07142,-118.26572,101,S,7,37,44000,2.79,4.138,4,ALVARADO,Los Angeles,US-101,Los Angeles
5,717445,34.06913,-118.25932,101,N,7,37,44000,2.42,3.768,4,GLENDALE,Los Angeles,US-101,Los Angeles
6,773062,34.05368,-118.23369,101,S,7,37,44000,0.45,1.798,4,GAREY STREET,Los Angeles,US-101,Los Angeles
7,767620,34.13486,-118.22932,2,E,7,37,44000,R18,10.562,4,N/O YORK BLVD,Los Angeles,SR-2,Los Angeles
8,737529,34.20264,-118.47352,405,S,7,37,44000,42.45,66.222,4,SHERMAN WAY 2,Los Angeles,I-405,Los Angeles
9,717816,34.15562,-118.4686,405,S,7,37,44000,39.09,62.862,5,VENTURA,Los Angeles,I-405,Los Angeles
10,765604,34.16415,-118.38223,170,N,7,37,44000,R15.26,2.346,4,MAGNOLIA,Los Angeles,SR-170,Los Angeles
11,767471,34.15691,-118.22469,2,W,7,37,44000,R19.47,12.032,6,N/O CHEVY CHASE DR,Los Angeles,SR-2,Los Angeles
12,716339,34.07821,-118.28795,101,S,7,37,44000,4.2,5.548,4,VERMONT,Los Angeles,US-101,Los Angeles
13,773906,34.1566,-118.30266,134,W,7,37,44000,4.8,4.8,4,W/O RIVERSIDE,Los Angeles,SR-134,Los Angeles
14,765273,34.18949,-118.47437,405,S,7,37,44000,41.48,65.252,4,VICTORY 2,Los Angeles,I-405,Los Angeles
15,716331,34.07006,-118.26246,101,S,7,37,44000,2.56,3.908,4,GLENDALE,Los Angeles,US-101,Los Angeles
16,771667,34.07314,-118.23388,110,N,7,37,44000,25.08,25.01,4,SOLANO AVE,Los Angeles,I-110,Los Angeles
17,716337,34.07732,-118.28186,101,N,7,37,44000,3.84,5.188,4,SILVER LAKE,Los Angeles,US-101,Los Angeles
18,769953,34.20672,-118.19992,210,W,7,37,39003,R19.8,19.78,4,ANGELES CREST HWY NB,Los Angeles,I-210,La Canada-Flintridge
19,769402,34.12095,-118.33911,101,N,7,37,44000,8.6,9.948,6,N/O HIGHLAND,Los Angeles,US-101,Los Angeles
20,769403,34.12073,-118.33928,101,S,7,37,44000,8.6,9.948,4,N/O HIGHLAND,Los Angeles,US-101,Los Angeles
21,769819,34.20584,-118.19803,210,E,7,37,39003,R20,19.98,4,ANGELES CREST HWY NB,Los Angeles,I-210,La Canada-Flintridge
22,769405,34.12634,-118.34482,101,S,7,37,44000,8.9,10.248,5,N/O MULHOLLAND,Los Angeles,US-101,Los Angeles
23,716941,34.05767,-118.21435,5,S,7,37,44000,18.59,135.16,4,MISSION,Los Angeles,I-5,Los Angeles
24,717578,34.15478,-118.27076,134,E,7,37,30000,R6.1,6.1,4,SAN FERNANDO,Los Angeles,SR-134,Glendale
25,716960,34.12121,-118.27164,5,S,7,37,44000,24.168,140.738,4,LOS FELIZ,Los Angeles,I-5,Los Angeles
26,717804,34.09478,-118.47605,405,N,7,37,44000,34.71,58.482,5,GETTY / SEPULVEDA,Los Angeles,I-405,Los Angeles
27,767572,34.12967,-118.22871,2,E,7,37,44000,R17.5,10.062,5,YORK BLVD / DELEVAN,Los Angeles,SR-2,Los Angeles
28,767573,34.12964,-118.22901,2,W,7,37,44000,R17.5,10.062,4,YORK BLVD / DELEVAN,Los Angeles,SR-2,Los Angeles
29,773012,34.0839,-118.22086,110,S,7,37,44000,26,25.882,3,N/O 5,Los Angeles,I-110,Los Angeles
30,773013,34.08374,-118.22076,110,N,7,37,44000,26,25.93,3,N/O 5,Los Angeles,I-110,Los Angeles
31,764424,34.17878,-118.39469,170,N,7,37,44000,R16.6,3.686,4,OXNARD,Los Angeles,SR-170,Los Angeles
32,769388,34.11027,-118.33441,101,S,7,37,44000,7.7,9.048,4,HIGHLAND,Los Angeles,US-101,Los Angeles
33,716328,34.06664,-118.25397,101,S,7,37,44000,2.08,3.428,4,EDGEWARE,Los Angeles,US-101,Los Angeles
34,717819,34.18784,-118.47407,405,N,7,37,44000,41.48,65.252,4,VICTORY,Los Angeles,I-405,Los Angeles
35,769941,34.20699,-118.20237,210,W,7,37,39003,R19.6,19.58,4,ANGELES CREST HWY SB,Los Angeles,I-210,La Canada-Flintridge
36,760987,34.15359,-118.34043,134,E,7,37,44000,2.11,2.11,4,HOLLYWOOD WAY,Los Angeles,SR-134,Los Angeles
37,718204,34.15541,-118.29575,134,E,7,37,44000,4.69,4.69,4,RIVERSIDE,Los Angeles,SR-134,Los Angeles
38,718045,34.06712,-118.23973,110,S,7,37,44000,24.46,24.39,3,STADUIM,Los Angeles,I-110,Los Angeles
39,769418,34.12659,-118.34465,101,N,7,37,44000,8.9,10.248,5,N/O MULHOLLAND,Los Angeles,US-101,Los Angeles
40,768066,34.15118,-118.3748,101,S,7,37,44000,11.53,12.878,6,MOORPARK,Los Angeles,US-101,Los Angeles
41,772140,34.16498,-118.47493,101,S,7,37,44000,17.59,18.907,6,HASKELL,Los Angeles,US-101,Los Angeles
42,773927,34.15262,-118.28034,134,E,7,37,44000,R5.7,5.7,4,RTE 5 / ZOO DR,Los Angeles,SR-134,Los Angeles
43,760024,34.1593,-118.46483,101,S,7,37,44000,16.7,18.017,6,SEPULVEDA,Los Angeles,US-101,Los Angeles
44,774012,34.14769,-118.20137,134,W,7,37,44000,R10.66,10.643,4,TOWNSEND,Los Angeles,SR-134,Los Angeles
45,774011,34.14747,-118.20123,134,E,7,37,44000,R10.66,10.66,4,TOWNSEND,Los Angeles,SR-134,Los Angeles
46,767609,34.18555,-118.21733,2,E,7,37,30000,R21.5,14.062,5,FERN LANE,Los Angeles,SR-2,Glendale
47,769359,34.1566,-118.42216,101,S,7,37,44000,14.4,15.717,5,FULTON AVE,Los Angeles,US-101,Los Angeles
48,760650,34.07505,-118.23256,110,S,7,37,44000,25,24.93,5,AMADOR,Los Angeles,I-110,Los Angeles
49,716956,34.10658,-118.25544,5,N,7,37,44000,23.2,139.833,5,FLETCHER,Los Angeles,I-5,Los Angeles
50,769831,34.20663,-118.20101,210,E,7,37,39003,R19.8,19.78,4,ANGELES CREST HWY SB,Los Angeles,I-210,La Canada-Flintridge
51,761604,34.15407,-118.28711,5,N,7,37,44000,26.88,143.513,4,N OF 134,Los Angeles,I-5,Los Angeles
52,717495,34.15664,-118.41326,101,S,7,37,44000,13.8,15.117,5,COLDWATER CANYON,Los Angeles,US-101,Los Angeles
53,716554,34.15597,-118.2666,134,W,7,37,30000,R6.52,6.503,4,PACIFIC,Los Angeles,SR-134,Glendale
54,773953,34.15522,-118.29344,134,E,7,37,44000,5,5,4,W/O VICTORY,Los Angeles,SR-134,Los Angeles
55,767470,34.15699,-118.22436,2,E,7,37,44000,R19.47,12.032,6,N/O CHEVY CHASE DR,Los Angeles,SR-2,Los Angeles
56,716955,34.09579,-118.24427,5,S,7,37,44000,21.93,138.5,5,STADIUM,Los Angeles,I-5,Los Angeles
57,764949,34.12881,-118.34684,101,N,7,37,44000,9.21,10.558,5,BARHAM,Los Angeles,US-101,Los Angeles
58,773954,34.15544,-118.29344,134,W,7,37,44000,5,5,4,W/O VICTORY,Los Angeles,SR-134,Los Angeles
59,767366,34.21216,-118.47341,405,S,7,37,44000,43.2,66.972,4,STAGG ST,Los Angeles,I-405,Los Angeles
60,769444,34.15555,-118.43908,101,S,7,37,44000,15.3,16.617,5,HAZELTINE,Los Angeles,US-101,Los Angeles
61,773939,34.15297,-118.37226,134,W,7,37,44000,0.38,0.38,3,VINELAND NB,Los Angeles,SR-134,Los Angeles
62,774067,34.15362,-118.28441,134,W,7,37,44000,R5.39,5.39,3,FM 5 NB,Los Angeles,SR-134,Los Angeles
63,769443,34.15574,-118.43931,101,N,7,37,44000,15.3,16.676,5,HAZELTINE,Los Angeles,US-101,Los Angeles
64,767750,34.09335,-118.20635,110,S,7,37,44000,27.1,26.982,3,AVE 43,Los Angeles,I-110,Los Angeles
65,767751,34.09335,-118.20616,110,N,7,37,44000,27.1,27.03,3,AVE 43,Los Angeles,I-110,Los Angeles
66,767610,34.18555,-118.21766,2,W,7,37,30000,R21.5,14.062,4,FERN LANE,Los Angeles,SR-2,Glendale
67,773880,34.15367,-118.3484,134,E,7,37,44000,2,2,4,W/O PASS,Los Angeles,SR-134,Los Angeles
68,764766,34.13338,-118.3535,101,S,7,37,44000,9.83,11.178,5,UNIVERSAL 2,Los Angeles,US-101,Los Angeles
69,717497,34.15685,-118.41456,101,N,7,37,44000,13.98,15.356,5,COLDWATER CANYON,Los Angeles,US-101,Los Angeles
70,717490,34.14745,-118.37124,101,S,7,37,44000,11.17,12.518,5,VINELAND,Los Angeles,US-101,Los Angeles
71,717491,34.14761,-118.3711,101,N,7,37,44000,11.17,12.518,5,VINELAND,Los Angeles,US-101,Los Angeles
72,717492,34.15459,-118.37935,101,N,7,37,44000,11.98,13.356,5,TUJUNGA,Los Angeles,US-101,Los Angeles
73,717493,34.15434,-118.39618,101,S,7,37,44000,12.75,14.067,5,LAUREL CANYON,Los Angeles,US-101,Los Angeles
74,765176,34.13286,-118.35135,101,N,7,37,44000,9.66,11.008,5,UNIVERSAL 1,Los Angeles,US-101,Los Angeles
75,717498,34.15571,-118.43273,101,N,7,37,44000,15,16.376,5,WOODMAN,Los Angeles,US-101,Los Angeles
76,717499,34.15666,-118.44808,101,S,7,37,44000,15.81,17.127,5,VAN NUYS,Los Angeles,US-101,Los Angeles
77,765171,34.16789,-118.46896,405,S,7,37,44000,40,63.772,4,BURBANK 1,Los Angeles,I-405,Los Angeles
78,718064,34.11296,-118.24489,2,W,7,37,44000,15.925,8.487,4,SAN FERNANDO RD,Los Angeles,SR-2,Los Angeles
79,718066,34.12302,-118.22889,2,W,7,37,44000,R17.048,9.61,4,VERDUGO RD,Los Angeles,SR-2,Los Angeles
80,765164,34.07898,-118.28911,101,N,7,37,44000,4.2,5.548,4,VERMONT 1,Los Angeles,US-101,Los Angeles
81,769431,34.15843,-118.45664,101,N,7,37,44000,16.4,17.776,6,KESTER,Los Angeles,US-101,Los Angeles
82,769430,34.15818,-118.45658,101,S,7,37,44000,16.4,17.717,6,KESTER,Los Angeles,US-101,Los Angeles
83,717610,34.17886,-118.39497,170,S,7,37,44000,R16.6,3.686,4,OXNARD,Los Angeles,SR-170,Los Angeles
84,767053,34.17091,-118.46775,405,S,7,37,44000,40.08,63.852,4,BURBANK 2,Los Angeles,I-405,Los Angeles
85,767621,34.13486,-118.22969,2,W,7,37,44000,R18,10.562,4,N/O YORK BLVD,Los Angeles,SR-2,Los Angeles
86,772596,34.17126,-118.50495,101,N,7,37,44000,19.8,21.159,5,LOUISE,Los Angeles,US-101,Los Angeles
87,772597,34.17109,-118.50495,101,S,7,37,44000,19.8,21.132,5,LOUISE,Los Angeles,US-101,Los Angeles
88,767350,34.18011,-118.47045,405,S,7,37,44000,40.9,64.672,4,OXNARD ST,Los Angeles,I-405,Los Angeles
89,767351,34.18022,-118.47022,405,N,7,37,44000,40.9,64.672,4,OXNARD ST,Los Angeles,I-405,Los Angeles
90,716571,34.2,-118.40337,170,S,7,37,44000,R18.19,5.276,4,SHERMAN WAY,Los Angeles,SR-170,Los Angeles
91,773023,34.05773,-118.24348,101,N,7,37,44000,1.08,2.428,4,BROADWAY,Los Angeles,US-101,Los Angeles
92,767585,34.16556,-118.22432,2,E,7,37,30000,R20.2,12.762,5,MOUNTAIN ST,Los Angeles,SR-2,Glendale
93,773024,34.05759,-118.24357,101,S,7,37,44000,1.08,2.428,4,BROADWAY,Los Angeles,US-101,Los Angeles
94,717483,34.11684,-118.33698,101,N,7,37,44000,8.11,9.458,5,CAHUENGA,Los Angeles,US-101,Los Angeles
95,718379,34.14224,-118.27812,5,S,7,37,44000,25.85,142.42,5,COLORADO,Los Angeles,I-5,Los Angeles
96,717481,34.10634,-118.32826,101,S,7,37,44000,7.27,8.618,4,CAHUENGA 1,Los Angeles,US-101,Los Angeles
97,717480,34.10478,-118.32497,101,N,7,37,44000,7.21,8.558,4,ARGYLE,Los Angeles,US-101,Los Angeles
98,717486,34.12974,-118.34809,101,S,7,37,44000,9.31,10.658,5,BARHAM,Los Angeles,US-101,Los Angeles
99,764120,34.20164,-118.40366,170,N,7,37,44000,R18.19,5.276,4,SHERMAN WAY,Los Angeles,SR-170,Los Angeles
100,772151,34.16928,-118.49872,101,N,7,37,44000,19.4,20.759,5,BALBOA,Los Angeles,US-101,Los Angeles
101,718371,34.09017,-118.23849,5,N,7,37,44000,21.47,138.103,5,DORRIS,Los Angeles,I-5,Los Angeles
102,717489,34.13876,-118.36438,101,S,7,37,44000,10.53,11.878,5,VENTURA,Los Angeles,US-101,Los Angeles
103,717488,34.13561,-118.36006,101,S,7,37,44000,10.04,11.388,5,LANKERSHIM,Los Angeles,US-101,Los Angeles
104,717818,34.1722,-118.46753,405,N,7,37,44000,40.33,64.102,4,BURBANK 2,Los Angeles,I-405,Los Angeles
105,718076,34.16339,-118.2253,2,W,7,37,30000,R19.831,12.393,4,MOUNTAIN ST,Los Angeles,SR-2,Glendale
106,718072,34.1491,-118.2257,2,W,7,37,44000,R18.916,11.478,4,HOLLY DR,Los Angeles,SR-2,Los Angeles
107,767455,34.14347,-118.22704,2,E,7,37,44000,R18.8,11.362,4,CONN ROUTE 134 EB,Los Angeles,SR-2,Los Angeles
108,767454,34.14352,-118.22733,2,W,7,37,44000,R18.8,11.362,4,CONN ROUTE 134 EB,Los Angeles,SR-2,Los Angeles
109,761599,34.14226,-118.27786,5,N,7,37,44000,25.9,142.533,5,COLORADO,Los Angeles,I-5,Los Angeles
110,717099,34.15648,-118.24674,134,W,7,37,30000,R7.69,7.673,4,GLENDALE 1,Los Angeles,SR-134,Glendale
111,773916,34.15247,-118.2852,134,E,7,37,44000,R5.5,5.5,3,RTE 5 SB,Los Angeles,SR-134,Los Angeles
112,716968,34.16588,-118.29809,5,N,7,37,30000,27.92,144.553,4,WESTERN 2,Los Angeles,I-5,Glendale
113,769467,34.15451,-118.39699,101,N,7,37,44000,12.9,14.276,5,LAUREL CANYON,Los Angeles,US-101,Los Angeles
114,717576,34.15559,-118.2957,134,W,7,37,44000,4.69,4.69,4,RIVERSIDE,Los Angeles,SR-134,Los Angeles
115,717573,34.15384,-118.325,134,E,7,37,8954,3.04,3.04,4,BUENA VISTA,Los Angeles,SR-134,Burbank
116,717572,34.15351,-118.32751,134,W,7,37,8954,2.86,2.86,4,BUENA VISTA,Los Angeles,SR-134,Burbank
117,717571,34.15326,-118.35921,134,W,7,37,44000,0.95,0.95,4,CAHUENGA,Los Angeles,SR-134,Los Angeles
118,717570,34.15302,-118.35921,134,E,7,37,44000,0.95,0.95,4,CAHUENGA,Los Angeles,SR-134,Los Angeles
119,764760,34.13401,-118.35506,101,N,7,37,44000,9.83,11.178,5,UNIVERSAL 2,Los Angeles,US-101,Los Angeles
120,718089,34.12769,-118.27372,5,S,7,37,44000,24.54,141.11,4,GRIFFITH PARK,Los Angeles,I-5,Los Angeles
121,769847,34.20983,-118.22351,210,E,7,37,,R18.2,18.18,4,OCEAN VIEW,Los Angeles,I-210,Unincorporated Area
122,717608,34.17154,-118.38812,170,S,7,37,44000,R15.96,3.046,4,BURBANK,Los Angeles,SR-170,Los Angeles
123,767523,34.11439,-118.24209,2,E,7,37,44000,16.1,8.662,4,SAN FERNANDO RD,Los Angeles,SR-2,Los Angeles
124,716942,34.0593,-118.21451,5,N,7,37,44000,18.71,135.343,5,MARENGO,Los Angeles,I-5,Los Angeles
125,718090,34.14847,-118.27969,5,S,7,37,44000,26.35,142.92,6,ZOO DR,Los Angeles,I-5,Los Angeles
126,769867,34.21846,-118.23931,210,W,7,37,,R17.4,17.38,4,LA CRESCENTA,Los Angeles,I-210,Unincorporated Area
127,717472,34.10045,-118.31601,101,S,7,37,44000,6.36,7.708,4,HOLLYWOOD,Los Angeles,US-101,Los Angeles
128,717473,34.10054,-118.31581,101,N,7,37,44000,6.37,7.718,4,HOLLYWOOD,Los Angeles,US-101,Los Angeles
129,759591,34.11521,-118.26825,5,N,7,37,44000,23.86,140.493,4,GLENDALE,Los Angeles,I-5,Los Angeles
130,764781,34.16037,-118.47012,101,S,7,37,44000,17.25,18.567,4,RT 405 CN,Los Angeles,US-101,Los Angeles
131,765099,34.16378,-118.47224,101,N,7,37,44000,17.4,18.776,6,N OF 405,Los Angeles,US-101,Los Angeles
132,762329,34.13904,-118.22862,2,W,7,37,44000,R18.237,10.799,4,COLORADO BLVD,Los Angeles,SR-2,Los Angeles
133,716953,34.09458,-118.24279,5,N,7,37,44000,21.8,138.433,5,STADIUM WAY,Los Angeles,I-5,Los Angeles
134,716951,34.08581,-118.23182,5,N,7,37,44000,21.1,137.733,4,RIVERSIDE,Los Angeles,I-5,Los Angeles
135,767509,34.11059,-118.24819,2,E,7,37,44000,15.5,8.062,4,FLETCHER DR,Los Angeles,SR-2,Los Angeles
136,765182,34.06491,-118.25126,101,N,7,37,44000,1.83,3.178,5,N OF 110,Los Angeles,US-101,Los Angeles
137,769358,34.15679,-118.42222,101,N,7,37,44000,14.4,15.776,5,FULTON AVE,Los Angeles,US-101,Los Angeles
138,772513,34.06871,-118.23661,110,N,7,37,44000,24.7,24.63,4,STADIUM WAY,Los Angeles,I-110,Los Angeles
139,716958,34.11167,-118.26501,5,S,7,37,44000,23.58,140.15,5,GLENDALE,Los Angeles,I-5,Los Angeles
140,718496,34.15403,-118.34232,134,W,7,37,44000,1.9,1.9,4,ALAMEDA SB,Los Angeles,SR-134,Los Angeles
141,769346,34.15677,-118.40424,101,N,7,37,44000,13.5,14.876,5,WHITSETT AVE,Los Angeles,US-101,Los Angeles
142,773904,34.15641,-118.30266,134,E,7,37,44000,4.8,4.8,4,W/O RIVERSIDE,Los Angeles,SR-134,Los Angeles
143,718499,34.15469,-118.31253,134,W,7,37,44000,3.75,3.75,4,FOREST LAWN,Los Angeles,SR-134,Los Angeles
144,764853,34.06461,-118.25102,101,S,7,37,44000,1.83,3.178,5,N OF 110,Los Angeles,US-101,Los Angeles
145,761003,34.15546,-118.30841,134,E,7,37,44000,3.88,3.88,4,FOREST LAWN,Los Angeles,SR-134,Los Angeles
146,717502,34.16521,-118.47484,101,N,7,37,44000,17.59,18.966,6,HASKELL,Los Angeles,US-101,Los Angeles
147,759602,34.12199,-118.27178,5,N,7,37,44000,24.54,141.173,4,LOS FELIZ 2,Los Angeles,I-5,Los Angeles
148,717504,34.16519,-118.49166,101,S,7,37,44000,18.5,19.832,5,HAYVENHURST,Los Angeles,US-101,Los Angeles
149,763995,34.21979,-118.40931,170,N,7,37,44000,R19.62,6.706,3,ROSCOE 1,Los Angeles,SR-170,Los Angeles
150,717508,34.17112,-118.51814,101,S,7,37,44000,20.15,21.482,5,WHITE OAK,Los Angeles,US-101,Los Angeles
151,765265,34.18529,-118.47395,405,S,7,37,44000,41.31,65.082,4,VICTORY 1,Los Angeles,I-405,Los Angeles
152,773996,34.14511,-118.21587,134,W,7,37,44000,R9.59,9.573,5,FM 2 NB TO 134 EB,Los Angeles,SR-134,Los Angeles
153,773995,34.14483,-118.21587,134,E,7,37,44000,R9.59,9.59,5,FM 2 NB TO 134 EB,Los Angeles,SR-134,Los Angeles
154,717469,34.0971,-118.31366,101,N,7,37,44000,6.1,7.448,4,SUNSET,Los Angeles,US-101,Los Angeles
155,717468,34.09699,-118.31381,101,S,7,37,44000,6.1,7.448,4,SUNSET,Los Angeles,US-101,Los Angeles
156,764106,34.17169,-118.38801,170,N,7,37,44000,R15.96,3.046,4,BURBANK,Los Angeles,SR-170,Los Angeles
157,717465,34.09373,-118.30907,101,N,7,37,44000,5.9,7.248,4,WESTERN,Los Angeles,US-101,Los Angeles
158,764794,34.16028,-118.46808,101,N,7,37,44000,17.14,18.516,4,RT 405 CN,Los Angeles,US-101,Los Angeles
159,717466,34.09359,-118.30918,101,S,7,37,44000,5.9,7.248,4,WESTERN,Los Angeles,US-101,Los Angeles
160,717461,34.08558,-118.30174,101,S,7,37,44000,5.09,6.438,4,NORMANDIE,Los Angeles,US-101,Los Angeles
161,717460,34.08571,-118.30161,101,N,7,37,44000,5.09,6.438,4,NORMANDIE,Los Angeles,US-101,Los Angeles
162,717463,34.09004,-118.3059,101,N,7,37,44000,5.48,6.828,4,SANTA MONICA,Los Angeles,US-101,Los Angeles
163,717462,34.08993,-118.30607,101,S,7,37,44000,5.48,6.828,4,SANTA MONICA,Los Angeles,US-101,Los Angeles
164,769345,34.15655,-118.40441,101,S,7,37,44000,13.5,14.817,5,WHITSETT AVE,Los Angeles,US-101,Los Angeles
165,716943,34.05987,-118.21492,5,S,7,37,44000,18.71,135.28,3,MARENGO,Los Angeles,I-5,Los Angeles
166,772669,34.07828,-118.22834,110,N,7,37,44000,25.41,25.34,8,DLC 110 NB TO 5 NB,Los Angeles,I-110,Los Angeles
167,717582,34.15646,-118.26092,134,W,7,37,30000,R6.71,6.693,4,CENTRAL,Los Angeles,SR-134,Glendale
168,717583,34.15627,-118.25506,134,E,7,37,30000,R7.41,7.41,4,BRAND,Los Angeles,SR-134,Glendale
169,717580,34.1562,-118.26359,134,E,7,37,30000,R6.48,6.48,4,PACIFIC,Los Angeles,SR-134,Glendale
170,716949,34.08406,-118.22974,5,S,7,37,44000,20.7,137.27,5,DUVALL,Los Angeles,I-5,Los Angeles
171,717587,34.15402,-118.23893,134,E,7,37,30000,R7.98,7.98,5,GLENDALE 2,Los Angeles,SR-134,Glendale
172,772178,34.16903,-118.49885,101,S,7,37,44000,19,20.332,5,BALBOA,Los Angeles,US-101,Los Angeles
173,717585,34.15564,-118.24188,134,E,7,37,30000,R7.84,7.84,4,GLENDALE 1,Los Angeles,SR-134,Glendale
174,716939,34.04301,-118.21724,5,S,7,37,44000,17.44,134.01,5,FOURTH,Los Angeles,I-5,Los Angeles
175,768469,34.13583,-118.35993,101,N,7,37,44000,10.04,11.388,5,LANKERSHIM,Los Angeles,US-101,Los Angeles
176,764101,34.16421,-118.38246,170,S,7,37,44000,R15.26,2.346,4,MAGNOLIA,Los Angeles,SR-170,Los Angeles
177,767554,34.11966,-118.23143,2,E,7,37,44000,R17,9.562,4,EAGLE ROCK BLVD,Los Angeles,SR-2,Los Angeles
178,773975,34.14584,-118.22251,134,W,7,37,44000,R9.23,9.213,4,OAKVIEW,Los Angeles,SR-134,Los Angeles
179,773974,34.14559,-118.22251,134,E,7,37,44000,R9.23,9.23,4,OAKVIEW,Los Angeles,SR-134,Los Angeles
180,717510,34.17128,-118.51976,101,N,7,37,44000,20.34,21.699,5,WHITE OAK,Los Angeles,US-101,Los Angeles
181,717513,34.17339,-118.5368,101,N,7,37,44000,21.38,22.739,5,RESEDA,Los Angeles,US-101,Los Angeles
182,717825,34.22164,-118.47307,405,N,7,37,44000,43.87,67.642,4,ROSCOE,Los Angeles,I-405,Los Angeles
183,767495,34.10377,-118.24992,2,W,7,37,44000,15.2,7.762,3,E/O ROUTE 5,Los Angeles,SR-2,Los Angeles
184,767494,34.10377,-118.24962,2,E,7,37,44000,15.2,7.762,3,E/O ROUTE 5,Los Angeles,SR-2,Los Angeles
185,717821,34.20112,-118.47361,405,S,7,37,44000,42.26,66.032,4,SHERMAN WAY 1,Los Angeles,I-405,Los Angeles
186,717823,34.20264,-118.47326,405,N,7,37,44000,42.46,66.232,4,SHERMAN WAY,Los Angeles,I-405,Los Angeles
187,717458,34.08265,-118.29755,101,S,7,37,44000,4.78,6.128,4,MELROSE,Los Angeles,US-101,Los Angeles
188,717459,34.08294,-118.29729,101,N,7,37,44000,4.78,6.128,4,MELROSE,Los Angeles,US-101,Los Angeles
189,769926,34.21356,-118.23113,210,W,7,37,,R17.9,17.88,6,OCEAN VIEW,Los Angeles,I-210,Unincorporated Area
190,764858,34.1527,-118.3754,101,N,7,37,44000,11.73,13.078,3,S OF 134,Los Angeles,US-101,Los Angeles
191,717450,34.07488,-118.27362,101,S,7,37,44000,3.28,4.628,4,RAMPART,Los Angeles,US-101,Los Angeles
192,717452,34.07502,-118.27356,101,N,7,37,44000,3.28,4.628,4,RAMPART,Los Angeles,US-101,Los Angeles
193,717453,34.07696,-118.28093,101,S,7,37,44000,3.73,5.078,4,SILVER LAKE,Los Angeles,US-101,Los Angeles
194,759772,34.17115,-118.30539,5,S,7,37,8954,28.3,144.87,4,ALAMEDA 2,Los Angeles,I-5,Burbank
195,717456,34.08102,-118.29325,101,N,7,37,44000,4.51,5.858,4,VERMONT 2,Los Angeles,US-101,Los Angeles
196,771673,34.07787,-118.22871,110,N,7,37,44000,25.4,25.33,4,SO OF N/B 5,Los Angeles,I-110,Los Angeles
197,772167,34.16526,-118.47985,101,S,7,37,44000,18.1,19.432,6,WOODLEY,Los Angeles,US-101,Los Angeles
198,769372,34.1027,-118.3173,101,N,7,37,44000,6.5,7.848,4,HOLLYWOOD,Los Angeles,US-101,Los Angeles
199,774204,34.15397,-118.34172,134,W,7,37,44000,1.92,1.92,4,ALAMEDA 2 NB,Los Angeles,SR-134,Los Angeles
200,769806,34.19638,-118.18442,210,E,7,37,39003,R21,20.98,4,FOOTHILL,Los Angeles,I-210,La Canada-Flintridge
201,717590,34.14929,-118.23182,134,W,7,37,30000,R8.76,8.743,4,HARVEY,Los Angeles,SR-134,Glendale
202,717592,34.14604,-118.2243,134,E,7,37,30000,R8.92,8.92,4,HARVEY,Los Angeles,SR-134,Glendale
203,717595,34.14163,-118.1829,134,E,7,37,44000,R11.52,11.52,4,FIGUEROA,Los Angeles,SR-134,Los Angeles
204,772168,34.16542,-118.47985,101,N,7,37,44000,18.1,19.459,6,WOODLEY,Los Angeles,US-101,Los Angeles
205,718141,34.15133,-118.37456,101,N,7,37,44000,11.53,12.878,3,MOORPARK,Los Angeles,US-101,Los Angeles
206,769373,34.10262,-118.31747,101,S,7,37,44000,6.5,7.848,4,HOLLYWOOD,Los Angeles,US-101,Los Angeles
